,0
110553,9.768402819846186e-06
73392,1.0654209621640589e-05
114074,2.9028783267203695e-05
55290,0.00012278546217774788
5989,0.001045354211271458
5980,1.2916545574933715e-05
5981,9.205210630716349e-06
5986,1.247830117826506e-05
130642,1.1643428510454586e-05
102819,3.505066523608953e-05
43871,1.220763433480809e-05
6796,0.00029553658658687136
6797,1.2837933622234028e-05
6794,9.238493115971029e-06
27373,1.1400868099276168e-05
6793,2.1442250055016687e-05
6790,3.438135672066506e-05
6791,5.0380713302965416e-05
270,5.160249140586481e-05
271,2.1455195690459243e-05
272,0.000357081490697701
273,6.320806448124917e-05
32017,1.2707537009805224e-05
49,1.2910648581768469e-05
80599,1.079563944592645e-05
277,0.0001964123869286583
278,1.2910648581768469e-05
279,2.1654034658959716e-05
32019,1.0411152714478567e-05
117529,5.0675907967375126e-05
26393,1.3830091082323429e-05
52462,2.1201908802860372e-05
101947,9.504195583735723e-06
106473,9.547282780496824e-06
64900,1.1643428510454586e-05
45447,0.00012128051102560331
4645,1.1569005958186681e-05
45442,1.220763433480809e-05
141124,1.6445637324540127e-05
45440,2.311225338763951e-05
85612,9.34507099726307e-06
44245,1.1643428510454586e-05
7786,9.857070380809266e-06
3519,4.836266121677843e-05
3513,4.496344077100701e-05
3512,0.00013674440172160954
3510,0.00030982492207555067
3516,3.660703738918985e-05
84696,1.1227389558439886e-05
70663,8.813621378357233e-06
2688,0.00018439774639757232
2689,2.4311516681044637e-05
2686,0.00018207335902009918
2687,0.00018315315255056688
2682,5.119951042209992e-05
2683,0.000753768436152264
71282,8.794164078481339e-06
71535,0.0003147217960273777
71530,1.8810115371053224e-05
99,2.74335336283596e-05
93,8.787104650829881e-06
92,6.838671603574573e-05
95,0.00036478794742689956
94,0.0001675275526008123
97,6.985364025724294e-05
70488,1.079563944592645e-05
102716,1.1643428510454586e-05
71755,1.09976339142929e-05
41566,0.0003193189361261834
41569,0.00014314700556567804
44421,1.1400868099276168e-05
83613,1.8146496259918818e-05
156387,1.1400868099276168e-05
1177,0.00010769220528231144
1176,8.427701516636757e-05
1175,0.00032402187555060047
1173,0.00012894217754362818
1172,0.000492100494132231
1171,0.00024990378352732293
1179,0.0003981314807308093
1178,0.00015670547037706698
68269,2.8164918130531353e-05
27611,0.00016712925065604214
97938,0.00018035834508137616
